product_titles,min_salaries,annual_fees,rates,salary_transfers,features,details,cashback,discounts,reward_point,shopping,dining,golf_benefits,travel_benefits
ADIB - Etisalat Classic Card,"AED 8,000",AED 0,3.09%,No,"Discounts / Vouchers / Offers, Islamic Finance, Sharia Compliant, Air Miles, No Salary Transfer","Reward Features; 
For non-Self-funded Card earn 3 Etisalat Smiles points for every Dirham spent so every AED 100 spent is 10 minutes of UAE talk time.
Earn 1 Etisalat Smiles point for every Dirham spent on Specific merchant transactions (supermarkets, govt services, utilities, education, fuel, real estate agents, public transport, salik, charities), so every AED 100 spent is 3 minutes of UAE talk time.
For Self-funded Cards earn 2 Etisalat Smiles points for every Dirham spent, so every AED 100 spent is 6 minutes of UAE talk time.
Redeem Reward Points for payment of various Etisalat services including Etisalat Data or Talk time, Airline tickets, mobile bills, eLife Service, hotels, holidays, car hires etc.


Offers
Welcome bonus 5,000 Etisalat Reward points(equivalent to more than 2.5 hours of UAE talk time).

Additional Information
Eligibility:
For non salary transfer customers, the minimum salary requirement is AED 10,000.
Documents Required:
Original passport (with valid residence visa for expatriates)
Salary Certificate (not more than 30 days old)
Bank Statements for last 3 months

Representative Example
If you spend AED 1,200 at a purchase profit rate of 18.9% (variable) your representative APR will be 18.9% (variable).","Welcome bonus 5,000 Etisalat Reward points(equivalent to more than 2.5 hours of UAE talk time).","AED 1,200 at a purchase profit rate of 18.9% (variable) your representative APR will be 18.9% (variable)",For non-Self-funded Card earn 3 Etisalat Smiles points for every Dirham spent so every AED 100 spent is 10 minutes of UAE talk time.,Earn 1 Etisalat Smiles point for every Dirham spent on Specific merchant transactions,"Offers Welcome bonus 5,000 Etisalat Reward points(equivalent to more than 2.5 hours of UAE talk time).","Redeem Reward Points for payment of various Etisalat services including Etisalat Data or Talk time, Airline tickets, mobile bills, eLife Service, hotels, holidays, car hires etc. Offers Welcome bonus 5,000 Etisalat Reward points(equivalent to","Redeem Reward Points for payment of various Etisalat services including Etisalat Data or Talk time, Airline tickets, mobile bills, eLife Service, hotels, holidays, car hires etc."
CBI Visa Platinum Credit Card,"AED 15,000",AED 158,2.25%,Yes,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Free Supplementary Cards","Features
100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*
1,000+ dining and lifestyle discounts via the CBI Lifestyle app
Low reducing balance interest rate of just 2.25% per month
0% interest on balance transfers for the first 6 months
Cash transfer to CBI accounts or any other accounts within the UAE at 1% p.m with repayment terms up to 36 months and a processing fee of just 1%.
Free supplementary cards for family members
Credit Shield
SMS alerts on all credit card transactions","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE*","1,000+ dining and lifestyle discounts","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* 1,000+ dining and lifestyle discounts via the CBI Lifestyle app","100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* 1,000+ dining and lifestyle discounts via the CBI Lifestyle app","1,000+ dining and lifestyle discounts",5% off on all golf purchases,"100% cash back on up to 4 free movie tickets every month, any day, any cinema in the UAE* 1,000+ dining and lifestyle discounts via the CBI Lifestyle app"
ADCB - TouchPoints Platinum Credit Card,"AED 10,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Air Miles, Airport Lounge Access, Cinema Offers, Golf Benefits, No Salary Transfer","Unlock a world of possibilities
With the wide range of benefits and privileges from online food delivery discounts, entertainment deals and much more to compliment your lifestyle

VOX Cinemas - Buy one get one FREE
10,000 Bonus TouchPoints - For spends of AED 10,000
Talabat Orders - 20% off your orders

Rewards
Earn up to 1 TouchPoint for every AED 1 spent with your card
Receive 10,000 bonus TouchPoints when you spend AED 10,000 each month
Lifestyle Benefits
Buy 1 Get 1 free on movie tickets
Exclusive discounts at Yas Theme Parks
Complimentary golf access
Visa xperience with the ENTERTAINER offer
Talabat Grocery & Food Delivery
Travel Benefits
Unlimited complimentary airport lounge access
Dragon Pass “Dine & Fly” airport Dining program
Airfare and Hotel discounts with Mastercard and Cleartrip
Avis Rent a Car Benefits with Visa
Other benefits
Credit Card Loan
Balance Transfer
Instalments Payment Plans
0% interest on School fee payments
Interest-Free Days
Manage your card through our mobile app and internet banking
Convenient payment options
Set up Auto Debit Instructions
FlexiPay",Buy 1 Get 1 free on movie tickets,Buy 1 Get 1 free on movie tickets,Buy 1 Get 1 free on movie tickets,"online food delivery discounts, entertainment deals and much more to compliment your lifestyle","VOX Cinemas - Buy one get one FREE 10,000 Bonus TouchPoints - For spends of AED 10,000 Talabat Orders - 20% off your orders",Complimentary golf access,Unlimited complimentary airport lounge access Dragon Pass “Dine & Fly” airport Dining program Airfare and Hotel discounts with Mastercard and Cleartrip Avis Rent a Car Benefits with Visa
ADIB - Etihad Guest Visa Platinum Card,"AED 10,000","AED 2,000",3.09%,No,"Balance Transfer, Islamic Finance, Sharia Compliant, Air Miles, Airport Lounge Access, No Salary Transfer","Features
Welcome bonus of 50,000 Etihad Guest Miles – the highest of any travel card in the Middle East!
Receive 3 Etihad Guest Miles for every AED 4 equivalent spent
Receive up to 2.2 Etihad Guest Miles for every AED 4 spent for AED transaction
Free Companion Ticket – not available on any other Card in the Middle East!
Fast track to Etihad Guest Gold Tier
Valet parking at select locations in the UAE
Pay your ADIB Etihad Guest Covered Card Annual fees using 60,510 Etihad Guest Miles
Free Roadside Assistance 24/7 across the UAE
Redeem your Etihad Guest Miles for Travel Bookings, Home Furnishing, Electronics and Gifts for family & friends",Receive 3 Etihad Guest Miles for every AED 4 equivalent spent Receive up to 2.2 Etihad Guest Miles for every AED 4 spent for AED transaction,3 Etihad Guest Miles for every AED 4 equivalent spent,Receive 3 Etihad Guest Miles for every AED 4 equivalent spent Receive up to 2.2 Etihad Guest Miles for every AED 4 spent for AED transaction,Receive 3 Etihad Guest Miles for every AED 4 equivalent spent Receive up to 2.2 Etihad Guest Miles for every AED 4 spent for AED transaction,Receive 3 Etihad Guest Miles for every AED 4 equivalent spent Receive up to 2.2 Etihad Guest Miles for every AED 4 spent for AED transaction Free Companion Ticket – not available on any other Card in the Middle East! Fast track to Etihad Guest Gold Tier,Receive 3 Etihad Guest Miles for every AED 4 equivalent spent Receive up to 2.2 Etihad Guest Miles for every AED 4 spent for AED transaction Free Companion Ticket – not available on any other Card in the Middle East! Fast track to Etihad Guest Gold Tier,Receive 3 Etihad Guest Miles for every AED 4 equivalent spent Receive up to 2.2 Etihad Guest Miles for every AED 4 spent for AED transaction Free Companion Ticket – not available on any other Card in the Middle East! Fast track to Etihad Guest Gold Tier
Emirates Islamic - RTA Card,"AED 5,000",AED 0,3.49%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Islamic Finance, No Salary Transfer","Key Benefits
Fuel Spends
Get 10% Cashback on Fuel Spends.
RTA Transport Payments
Get 10% Cashback on RTA Transport Payment.
Guaranteed Cashback on all spends
Earn up to 2.25% cashback per AED 1 Spend.
NOL Card
Built in Nol card for easy access and payments on RTA transport network.
Reward Benefits
Enjoy up to 10% Cashback
RTA Transport Payments 10% AED 100
Fuel Stations 10% AED 100
International Up to 2.25% Unlimited
Domestic (Base Cashback*) Up to 1.25% Unlimited
Cashback Redemption
Redeem your cashback points within seconds through Online Banking or through our Mobile Banking app.
All you need to do is follow the steps below:
Log in to your Emirates Islamic account through Online Banking or Mobile Banking
Click on 'Cards'
Tap on 'Rewards'
Select 'Redemption' and submit your request.
Additional Benefits
Facilities available on the RTA Credit Card
Complimentary Reel Cinemas Movie Tickets
Enjoy 15% off on Emaar Entertainment Attractions
Emergency Cash and Card replacement
Extended Warranty
Payment Options
Purchase Protection
Salary Requirement: 
5,000 AED For UAE Nationals
10,000 AED For Expats

Representative Example",Fuel Spends Get 10% Cashback on Fuel Spends. RTA Transport Payments Get 10% Cashback on RTA Transport Payment. Guaranteed Cashback on all spends Earn up to 2.25% cashback per AED 1 Spend.,2.25% Unlimited Domestic (Base Cashback*) Up to 1.25% Unlimited Cashback Redemption,Enjoy up to 10% Cashback,Earn up to 2.25% cashback per AED 1 Spend. NOL Card Built in Nol card for easy access and payments on RTA transport network. Reward Benefits Enjoy up to 10% Cashback RTA Transport Payments 10% AED 100 Fuel Stations 10% AED 100 International Up to 2.2,15% off on Emaar Entertainment Attractions,5% off on Emaar Entertainment Attractions,Up to 2.25% Unlimited Domestic (Base Cashback*) Up to 1.25% Unlimited Cashback Redemption
ADIB - Etihad Guest Gold Card,"AED 5,000","AED 1,000",3.09%,No,"Islamic Finance, Sharia Compliant, Air Miles, Airport Lounge Access, Roadside Assistance, No Salary Transfer","Features
Pay your Etihad Covered Card Annual fees using Etihad Guest Miles
Fast Track to Etihad Guest Silver Tier
Earn DOUBLE Etihad Guest Miles get up to 100,000 Etihad Guest Miles the first time you use your new card
Welcome bonus of 35,000 Etihad Guest Miles - earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month
Free Companion Ticket Voucher when you spend AED 150,000 or more
Free Airport LoungeKey access to 850+ VIP airport lounges worldwide
Free Roadside Assistance
Advanced Chip & Pin Technology
Ways To Pay
earn 1 Etihad Guest Mile and 1 Tier Mile for every AED 3 you spend across Etihad Guest “miles on the go”","Earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month)",a,"Earn DOUBLE Etihad Guest Miles get up to 100,000 Etihad Guest Miles the first time you use your new card Welcome bonus of 35,000 Etihad Guest Miles - earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000","Earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month) Free Companion Ticket Voucher when you spend AED 150,000 or more Free Airport LoungeKey access to 850+ VIP airport lounges worldwide Free Roadside Assistance",Free Airport LoungeKey access to 850+ VIP airport lounges worldwide,"Earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000 Miles per month) Free Companion Ticket Voucher when you spend AED 150,000 or more Free Airport LoungeKey access to 850+ VIP airport lounges worldwide Free Roadside Assistance","Earn DOUBLE Etihad Guest Miles get up to 100,000 Etihad Guest Miles the first time you use your new card Welcome bonus of 35,000 Etihad Guest Miles - earn up to 1.5 Etihad Guest Miles for every AED 4 spent (to a maximum of 100,000"
Emirates NBD - Titanium Credit Card,"AED 5,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Golf Benefits, No Salary Transfer","Apply for an Emirates NBD Credit Card to win Apple products and a guaranteed voucher!
Apply for an Emirates NBD Credit Card and be one of 120 lucky winners of various Apple products from Apple watches to MacBook pro laptops!
That’s not all, you can also get a guaranteed YOUGotaGift HappyYOU card worth up to AED 400 that can be availed across 200+ brands.

Prize Units
Apple Watch Series 8 45MM 30
Apple iPhone 14 Pro Max 256GB 30
Apple AirPods 3rd generation 30
Apple 13-inch MacBook Pro 30
Total 120
Your lifestyle. Your privileges. Your Card.
Take advantage of a host of lifestyle features and benefits
Rewards
Earn up to 1 Plus Points for every AED 100 spend

Airport Lounge Access
Complimentary access to over 10 VIP lounges

Buy1 Get1 offers
Enjoy hundreds of the best brands and outlets throughout
Middle East & Africa

Complimentary lounge access to over 10 regional airports
Up to 40% discount at over 100 golf courses worldwide
Exclusive offers and deals on travel, lifestyle, shopping and more

Plus Points
Get rewarded for all your retail spends
Earn Plus Points for every spend and redeem them instantly at your favorite stores. You can also convert your Plus Points to Frequent Flyer Miles or Cash back.
Earn up to 1 Plus Points for every AED 100 spend
Earn 0.4% Plus Points in supermarkets and groceries spends
Earn 0.4% Plus Points in Insurance and Car Dealership spends
Earn 0.2% Plus Points in Fuel and Utility Payments
Earn 0.2% Plus Points in Real Estate and Education spends

Additional Information
Required Documents
Find out the Required Documents for Credit Cards
Security Cheque
Latest 3 Months Bank Statements (Mini ATM statement incase Bank Statements were not original)
Trade License for Non-Individual
Latest Salary Certificate for Salaried Individual
Original Emirates ID and copy along with Passport Copy for Identification

Representative Example",Earn up to 1 Plus Points for every AED 100 spend,Up to 40% discount at over 100 golf courses worldwide,Earn up to 1 Plus Points for every AED 100 spend,Plus Points Get rewarded for all your retail spends,Up to 40% discount at over 100 golf courses worldwide,Up to 40% discount at over 100 golf courses worldwide,Airport Lounge Access Complimentary access to over 10 VIP lounges
ADIB - Etisalat Gold Card,"AED 10,000",AED 299,3.09%,No,"Balance Transfer, Islamic Finance, Sharia Compliant, No Salary Transfer","Features
20,000 Sign Up Etisalat Reward points equivalent to more than 10 hours of free UAE talk time!
3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time
Etisalat MyPackage Plan for even More points
100% Cash withdrawal limit
55 days Grace Period
Convenience to make your Card payments at ADIB Branches, deposit machines, UAE Exchange, Arablink, Al Ansari Exchange and Al Fardan Exchange",3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time,3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time,3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time,3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time,3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time,3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time,3 Etisalat Reward points for every Dirham spent on the Card so every AED 100 spent is 10 minutes of UAE talk time
CBD - World MasterCard,"AED 25,000",AED 787,3.69%,Yes,"Airport Lounge Access, Cinema Offers, Golf Benefits, Free Travel Insurance, Valet Parking, Dining/Discounts/Offers, Free for 1st year, Up to 5 free supplementary credit cards, Fitness & Wellness Memberships","Features
No Annual Fee for the first year on Primary Card
Airport Lounge Access: Free access to an international network of VIP airport lounges.
Reward points for every dirham spent.
Mastercard® Moments Privileges: Premium rewards program reserved for World Mastercard® cardholders.
Chip & Pin: Protection against fraud with the latest technology in card security.
Spends of AED 5,000 using digital wallets (Apple Pay, Google Pay or Samsung Pay)
Supplementary Card: Free for life, for family and age above 15 years
Reward points for every Dirham spent
Complimentary flexible wellness membership with ClassPass app.
Free Valtrans valet parking 4 times per month at Dubai International Airport (Terminal 1 and Terminal 3), Al Maktoum International Airport ,Box Park and many more locations.
50% discount on 4 cinema tickets across VOX, Reel or Novo cinemas per calendar month.
20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more.
20% discount on Emaar attractions regular admission tickets: KidZania® | Dig It | E-Kart Zabeel | Dubai Aquarium and Underwater Zoo explorer experience
15% discount at Dubai Ice Rink public session tickets
Bonus credits on VR Park Dubai
Credit Shield
Complimentary airport lounge access to over 1,200 lounges globally
Get up to 10% Cashback on your spends done at Booking.com",Get up to 10% Cashback on your spends done at Booking.com,"50% discount on 4 cinema tickets across VOX, Reel or Novo cinemas per calendar month. 20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more. 20% discount on Emaar attractions regular admission tickets: KidZania® | Dig",Reward points for every Dirham spent,Reward points for every dirham spent,20% discount on F&B at Reel Cinemas on a minimum spend of AED 20 or more,Reward points for every Dirham spent,Airport Lounge Access: Free access to an international network of VIP airport lounges. Reward points for every dirham spent. Mastercard® Moments Privileges: Premium rewards program reserved for World Mastercard® cardholders. Chip & Pin: Protection against fraud with the latest technology in card security.
Simplylife - Cashback Credit Card,"AED 5,000",AED 0,1%,No,"Cash Back, Balance Transfer, Airport Lounge Access, Cinema Offers, Free for Life, No Salary Transfer","Features
1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000. Maximum monthly cash back is AED 1,000
Easy redemption process and the card is free for life, no annual fees.
Two movie tickets free when you make monthly purchases worth AED 1,500 or more (maximum monthly cash back for the tickets is AED 70)
Complimentary airport lounge access (Marhaba Lounges in Dubai and Diamond Lounge in Abu Dhabi)
Complimentary access to the new Diamond Lounge located at the VIP terminal of the Abu Dhabi International airport
Balance transfer at amazingly low interest rates
Personal payment plans and credit card loans at low interest rates. And you can repay in easy installments over 6, 9, 12, 18 or 24 months
Card control safety
Credit Shield insurance cover credit card","1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000","1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000","Two movie tickets free when you make monthly purchases worth AED 1,500 or more","1% cashback on all your purchases on minimum monthly purchases of at least AED 1,000.","Two movie tickets free when you make monthly purchases worth AED 1,500 or more",Complimentary access to the new Diamond Lounge located at the VIP terminal of the Abu Dhabi International airport,Complimentary airport lounge access (Marhaba Lounges in Dubai and Diamond Lounge in Abu Dhabi) Complimentary access to the new Diamond Lounge located at the VIP terminal of the Abu Dhabi International airport
The American Express - Platinum Credit Card,"AED 21,250",AED 700,3.25%,No,"Discounts / Vouchers / Offers, Air Miles, Airport Lounge Access, No Salary Transfer","Features
2 Membership Rewards® points with every AED 4 spent. Redeemable at 14 airlines, 3 hotels partners and on merchandise from leading brands
Across fashion, electronics and more.
Annual fee waiver with FeeBack* upon spending at least AED 10,000 on purchases within the first 3 months.
Complementary Global Airport Lounge Access with Priority Pass™ for up to 12 visits with a guest.
Comprehensive Retail Insurance for up to AED 5,400 and Travel Accident Insurance for up to AED 1,800,000. :Access to more than 1,300 lounges across 140 countries
Travel Accident Insurance for up to AED 1,800,000 and Travel Inconvenience Insurance for up to AED 5,400
Up to 2 complimentary Supplementary Cards
Eligibility Criteria for the 30K MR points joining offer","Annual fee waiver with FeeBack* upon spending at least AED 10,000 on purchases within the first 3 months",2 Membership Rewards® points with every AED 4 spent,2 Membership Rewards® points with every AED 4 spent,"2 Membership Rewards® points with every AED 4 spent. Redeemable at 14 airlines, 3 hotels partners and on merchandise from leading brands Across fashion, electronics and more. Annual fee waiver with FeeBack* upon spending at least AED 10,000 on purchases within the first 3 months. Complementary Global Airport Lounge",Complementary Global Airport Lounge Access with Priority PassTM for up to 12 visits with a guest,Complementary Global Airport Lounge Access with Priority PassTM for up to 12 visits with a guest,"Complementary Global Airport Lounge Access with Priority PassTM for up to 12 visits with a guest. Comprehensive Retail Insurance for up to AED 5,400 and Travel Accident Insurance for up to AED 1,800,000. :Access to more than 1,300 lounges across 140 countries Travel Accident Insurance for up to A"
Noor Bank - Srilankan Credit Card,"AED 5,000",AED 300,3.25%,No,"Discounts / Vouchers / Offers, Islamic Finance, Sharia Compliant, Air Miles, Airport Lounge Access, No Salary Transfer","Features
2 FlySmiLes for every $1 (dh 3.67) spent
FlySmiLes Silver Tier Privileges
Excess luggage allowance of 12kg
Access to SriLankan Airlines’ affiliated overseas lounges when travelling business class
Exclusive lounge access at Bandaranaike International Airport
Dedicated Service Centre and Priority Check-in Counter
Pre-assigned seating
FlySmiLes upgrade and free tickets on redemptions
Marhaba Lounge Access
Access to the privileges of the oneworld airline alliance’s frequent flyer programme on more than 15 airlines including Qantas, American Airlines, US Airways, British Airways, Qatar Airways and many more",2 FlySmiLes for every $1 (dh 3.67) spent,2 FlySmiLes for every $1 (dh 3.67) spent FlySmiLes Silver Tier Privileges Excess luggage allowance of 12kg,2 FlySmiLes for every $1 (dh 3.67) spent,2 FlySmiLes for every $1 (dh 3.67) spent,Marhaba Lounge Access,The FlySmiLes Silver Tier Privileges,2 FlySmiLes for every $1 (dh 3.67) spent FlySmiLes Silver Tier Privileges Excess luggage allowance of 12kg Access to SriLankan Airlines’ affiliated overseas lounges when travelling business class Exclusive lounge access at Bandaranaike International Airport 
Noor Bank - Rewards Credit Card,"AED 5,000",AED 300,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Islamic Finance, Sharia Compliant, Golf Benefits, Roadside Assistance, No Salary Transfer","Features
Complimentary Gym Access at Talise Fitness -Emirates Towers in Dubai & Le Royal Méridien in Abu Dhabi
Complimentary Golf for 2 people at Arabian Ranches Golf Club
Complimentary Valet Services at premium locations across UAE
Free Premium Driver Assistance: rent a car, car servicing delivery, car registration service pickup and drop off, international driving license, roadside assistance.
Complimentary Travel Desk: Airport transfers, marhaba lounge
Reward Points of 2% Back that can be redeemed for cash back or vouchers.",Reward Points of 2% Back that can be redeemed for cash back or vouchers.,Complimentary Gym Access at Talise Fitness -Emirates Towers in Dubai & Le Royal Méridien in Abu Dhabi Complimentary Golf for 2 people at Arabian Ranches Golf Club,2% Back that can be redeemed for cash back or vouchers.,Reward Points of 2% Back that can be redeemed for cash back or vouchers,Complimentary Golf for 2 people at Arabian Ranches Golf Club,Complimentary Golf for 2 people at Arabian Ranches Golf Club,"Complimentary Travel Desk: Airport transfers, marhaba lounge"
Emirates NBD - Titanium Credit Card,"AED 5,000",AED 0,3.25%,No,"Cash Back, Discounts / Vouchers / Offers, Balance Transfer, Airport Lounge Access, Golf Benefits, No Salary Transfer","Apply for an Emirates NBD Credit Card to win Apple products and a guaranteed voucher!
Apply for an Emirates NBD Credit Card and be one of 120 lucky winners of various Apple products from Apple watches to MacBook pro laptops!
That’s not all, you can also get a guaranteed YOUGotaGift HappyYOU card worth up to AED 400 that can be availed across 200+ brands.

Prize Units
Apple Watch Series 8 45MM 30
Apple iPhone 14 Pro Max 256GB 30
Apple AirPods 3rd generation 30
Apple 13-inch MacBook Pro 30
Total 120
Your lifestyle. Your privileges. Your Card.
Take advantage of a host of lifestyle features and benefits
Rewards
Earn up to 1 Plus Points for every AED 100 spend

Airport Lounge Access
Complimentary access to over 10 VIP lounges

Buy1 Get1 offers
Enjoy hundreds of the best brands and outlets throughout
Middle East & Africa

Complimentary lounge access to over 10 regional airports
Up to 40% discount at over 100 golf courses worldwide
Exclusive offers and deals on travel, lifestyle, shopping and more

Plus Points
Get rewarded for all your retail spends
Earn Plus Points for every spend and redeem them instantly at your favorite stores. You can also convert your Plus Points to Frequent Flyer Miles or Cash back.
Earn up to 1 Plus Points for every AED 100 spend
Earn 0.4% Plus Points in supermarkets and groceries spends
Earn 0.4% Plus Points in Insurance and Car Dealership spends
Earn 0.2% Plus Points in Fuel and Utility Payments
Earn 0.2% Plus Points in Real Estate and Education spends

Additional Information
Required Documents
Find out the Required Documents for Credit Cards
Security Cheque
Latest 3 Months Bank Statements (Mini ATM statement incase Bank Statements were not original)
Trade License for Non-Individual
Latest Salary Certificate for Salaried Individual
Original Emirates ID and copy along with Passport Copy for Identification

Representative Example",Earn up to 1 Plus Points for every AED 100 spend,Up to 40% discount at over 100 golf courses worldwide,Earn up to 1 Plus Points for every AED 100 spend,Plus Points Get rewarded for all your retail spends,Up to 40% discount at over 100 golf courses worldwide,Up to 40% discount at over 100 golf courses worldwide,Airport Lounge Access Complimentary access to over 10 VIP lounges
